Wall time,Step,Value
1622308769.2260938,482,-26.093294143676758
1622308772.288367,1547,-24.698223114013672
1622308772.496579,1641,-45.65777587890625
1622308772.991928,1898,2.7873892784118652
1622308773.2042267,2021,-57.81092834472656
1622308773.8163593,2357,-35.05850601196289
1622308774.6326683,2770,-10.499458312988281
1622308776.3872643,2970,-139.07493591308594
1622308779.27269,4338,-90.22574615478516
1622308781.7323422,5024,-18.737167358398438
1622308783.6914392,5287,-119.26471710205078
1622308785.1561174,5504,-13.857540130615234
1622308801.2832918,7461,-61.42363739013672
1622308823.2090294,10042,-101.6910400390625
1622308824.8561532,10258,-13.594498634338379
1622308843.0988743,11841,113.4729995727539
1622308847.4128816,12345,129.24578857421875
1622308851.0629554,12810,40.61555480957031
1622308854.3666332,13217,107.1239013671875
1622308866.3754005,14709,42.50904846191406
1622308877.8180008,16132,7.690074920654297
1622308887.6568685,17370,-5.129634857177734
1622308900.6817238,19032,44.950740814208984
1622308912.0073214,20312,28.02564239501953
1622308914.614799,20635,34.00279235839844
1622308915.6761825,20769,30.321332931518555
1622308929.600227,22525,31.286836624145508
1622308939.008491,23374,-0.2577630281448364
1622308939.9180388,23485,-50.026611328125
1622308941.4317343,23680,-59.45626449584961
1622308942.9291358,23871,47.830257415771484
1622308968.1895742,26685,-34.19949722290039
1622308979.341487,28091,-41.15285873413086
1622308984.0545728,28673,-49.67264175415039
1622308985.6056905,28868,25.237825393676758
1622308988.6652565,29242,-15.134526252746582
1622308996.7526948,30253,-52.95555114746094
1622308999.4130795,30597,55.551422119140625
1622309001.6895673,30895,-10.090417861938477
1622309003.2454352,31097,-76.79883575439453
1622309010.2894504,32009,-22.090587615966797
1622309011.1736343,32124,-30.42546272277832
1622309016.313555,32797,-138.27890014648438
1622309022.9003756,33622,-6.8121113777160645
1622309023.5347276,33701,-38.73753356933594
1622309024.4913776,33826,8.418471336364746
1622309038.7398396,35413,-77.85272216796875
1622309039.622048,35526,-80.04335021972656
1622309045.425971,36259,28.712427139282227
1622309047.6452706,36547,-0.7286412715911865
1622309048.2440827,36628,-95.09712982177734
1622309049.8933337,36845,-17.808452606201172
1622309054.351221,37425,-88.7166976928711
1622309055.7319798,37598,-39.202735900878906
1622309057.2804568,37793,46.309471130371094
1622309061.41513,38242,-60.57238006591797
1622309064.1403465,38597,-15.637819290161133
1622309071.1233618,39446,12.786519050598145
1622309091.749373,41988,15.879165649414062
1622309092.3697417,42067,35.03887939453125
1622309110.9794319,44379,-26.14033317565918
1622309111.7269151,44472,-23.495010375976562
1622309113.8449156,44731,115.5168685913086
1622309130.099524,46709,-3.432703971862793
1622309139.6946437,47764,-75.97700500488281
1622309151.9415731,49222,54.5763053894043
1622309156.572097,49793,32.150638580322266
1622309159.9405446,50202,43.93230056762695
1622309176.111343,51970,-43.74685287475586
1622309178.6886613,52281,52.695762634277344
1622309199.1741388,54680,-1.5832319259643555
1622309201.6018243,54967,27.041236877441406
1622309205.3512661,55398,14.873010635375977
1622309222.1480722,57355,-9.78714370727539
1622309226.6336055,57928,-4.895720958709717
1622309234.8509877,58896,6.103567600250244
1622309236.653156,59124,0.750835657119751
1622309237.6150637,59245,-19.917959213256836
1622309241.0336099,59682,-66.45339965820312
1622309272.3027914,63294,-4.731285572052002
1622309273.0804627,63393,-18.486257553100586
1622309286.8086247,64679,-73.42945861816406
1622309287.9913328,64825,-84.17665100097656
1622309306.1592317,66897,89.77415466308594
1622309308.0365515,67133,-11.216456413269043
1622309329.3148289,69360,18.723705291748047
1622309337.5304399,70400,-70.38899230957031
1622309338.1894548,70483,-12.621898651123047
1622309339.17773,70605,-10.645808219909668
1622309340.337041,70749,-8.840357780456543
1622309373.7702527,74715,-7.997905254364014
1622309382.891281,75864,9.390639305114746
1622309395.0101914,77282,138.1857147216797
1622309396.5391023,77473,12.305795669555664
1622309404.5347574,78464,135.94863891601562
1622309407.9161186,78906,-49.09564971923828
1622309413.0617218,79525,-47.6016960144043
1622309442.238895,82964,189.45211791992188
1622309454.644818,84433,161.58860778808594
